startix,ndate,trk,meet,race,raceix,hid,fin,post0,nh1
1495612,20150101,BR,A,11,189290,382864,4,5.0000,8.0000
1495613,20150101,BR,A,11,189290,490551,5,2.0000,8.0000
1495614,20150101,BR,A,11,189290,962103,6,1.0000,8.0000
1495615,20150101,BR,A,11,189290,654648,7,3.0000,8.0000
1495616,20150101,BR,A,11,189290,785479,8,4.0000,8.0000
1495617,20150101,BR,A,12,189291,937504,1,8.0000,8.0000
1495618,20150101,BR,A,12,189291,799621,2,6.0000,8.0000
1495619,20150101,BR,A,12,189291,418077,3,7.0000,8.0000
1495620,20150101,BR,A,12,189291,503546,4,4.0000,8.0000
1495621,20150101,BR,A,12,189291,862996,5,1.0000,8.0000
1495622,20150101,BR,A,12,189291,583510,6,5.0000,8.0000
1495623,20150101,BR,A,12,189291,658479,7,2.0000,8.0000
1495624,20150101,BR,A,12,189291,527624,8,3.0000,8.0000
1495625,20150101,DB,A,1,189292,581764,1,5.0000,8.0000
1495626,20150101,DB,A,1,189292,771982,2,3.0000,8.0000
1495627,20150101,DB,A,1,189292,794801,3,7.0000,8.0000
1495628,20150101,DB,A,1,189292,598135,4,4.0000,8.0000
1495629,20150101,DB,A,1,189292,952016,5,8.0000,8.0000
1495630,20150101,DB,A,1,189292,499290,6,1.0000,8.0000
1495631,20150101,DB,A,1,189292,698453,7,2.0000,8.0000
1495632,20150101,DB,A,1,189292,422811,8,6.0000,8.0000
1495633,20150101,DB,A,2,189293,340863,1,4.0000,8.0000
1495634,20150101,DB,A,2,189293,821635,2,3.0000,8.0000
1495635,20150101,DB,A,2,189293,482869,3,8.0000,8.0000
1495636,20150101,DB,A,2,189293,289035,4,1.0000,8.0000
1495637,20150101,DB,A,2,189293,804111,5,7.0000,8.0000
1495638,20150101,DB,A,2,189293,582994,6,6.0000,8.0000
1495639,20150101,DB,A,2,189293,64769,7,5.0000,8.0000
1495640,20150101,DB,A,2,189293,582878,8,2.0000,8.0000
1495641,20150101,DB,A,3,189294,816693,1,8.0000,8.0000
1495642,20150101,DB,A,3,189294,586094,2,7.0000,8.0000
1495643,20150101,DB,A,3,189294,481272,3,2.0000,8.0000
1495644,20150101,DB,A,3,189294,465543,4,6.0000,8.0000
1495645,20150101,DB,A,3,189294,882440,5,3.0000,8.0000
1495646,20150101,DB,A,3,189294,570758,6,5.0000,8.0000
1495647,20150101,DB,A,3,189294,932493,7,1.0000,8.0000
1495648,20150101,DB,A,3,189294,374108,8,4.0000,8.0000
1495649,20150101,DB,A,4,189295,301548,1,3.0000,7.0000
1495650,20150101,DB,A,4,189295,376549,2,7.0000,7.0000
1495651,20150101,DB,A,4,189295,964876,3,8.0000,7.0000
