startix,ndate,trk,meet,race,raceix,hid,fin,post0,nh1
1501550,20150103,SP,E,11,190045,844832,2,7.0000,8.0000
1501551,20150103,SP,E,11,190045,317435,3,8.0000,8.0000
1501552,20150103,SP,E,11,190045,315245,4,6.0000,8.0000
1501553,20150103,SP,E,11,190045,872706,5,1.0000,8.0000
1501554,20150103,SP,E,11,190045,816335,6,3.0000,8.0000
1501555,20150103,SP,E,11,190045,231838,7,4.0000,8.0000
1501556,20150103,SP,E,11,190045,970617,8,5.0000,8.0000
1501557,20150103,SP,E,12,190046,787282,1,5.0000,8.0000
1501558,20150103,SP,E,12,190046,671385,2,8.0000,8.0000
1501559,20150103,SP,E,12,190046,508811,3,6.0000,8.0000
1501560,20150103,SP,E,12,190046,377220,4,4.0000,8.0000
1501561,20150103,SP,E,12,190046,920036,5,2.0000,8.0000
1501562,20150103,SP,E,12,190046,427493,6,3.0000,8.0000
1501563,20150103,SP,E,12,190046,961800,7,7.0000,8.0000
1501564,20150103,SP,E,12,190046,597395,8,1.0000,8.0000
1501565,20150103,SP,E,13,190047,760518,1,1.0000,8.0000
1501566,20150103,SP,E,13,190047,769321,2,3.0000,8.0000
1501567,20150103,SP,E,13,190047,952513,3,4.0000,8.0000
1501568,20150103,SP,E,13,190047,403005,4,5.0000,8.0000
1501569,20150103,SP,E,13,190047,521959,5,7.0000,8.0000
1501570,20150103,SP,E,13,190047,267043,6,2.0000,8.0000
1501571,20150103,SP,E,13,190047,531134,7,6.0000,8.0000
1501572,20150103,SP,E,13,190047,796376,8,8.0000,8.0000
1501573,20150103,SP,E,14,190048,919518,1,7.0000,8.0000
1501574,20150103,SP,E,14,190048,526829,2,1.0000,8.0000
1501575,20150103,SP,E,14,190048,906832,3,4.0000,8.0000
1501576,20150103,SP,E,14,190048,855236,4,8.0000,8.0000
1501577,20150103,SP,E,14,190048,822641,5,3.0000,8.0000
1501578,20150103,SP,E,14,190048,800259,6,6.0000,8.0000
1501579,20150103,SP,E,14,190048,505994,7,5.0000,8.0000
1501580,20150103,SP,E,14,190048,1035233,8,2.0000,8.0000
1501581,20150103,TS,T,1,190049,1084868,1,8.0000,7.0000
1501582,20150103,TS,T,1,190049,1070780,2,2.0000,7.0000
1501583,20150103,TS,T,1,190049,1070747,3,7.0000,7.0000
1501584,20150103,TS,T,1,190049,1066169,4,4.0000,7.0000
1501585,20150103,TS,T,1,190049,923802,5,6.0000,7.0000
1501586,20150103,TS,T,1,190049,1084934,6,5.0000,7.0000
1501587,20150103,TS,T,1,190049,1046863,7,1.0000,7.0000
1501588,20150103,TS,T,2,190050,458603,1,8.0000,7.0000
1501589,20150103,TS,T,2,190050,1033154,2,3.0000,7.0000
1501590,20150103,TS,T,2,190050,321023,3,6.0000,7.0000
1501591,20150103,TS,T,2,190050,352758,4,5.0000,7.0000
1501592,20150103,TS,T,2,190050,972545,5,7.0000,7.0000
1501593,20150103,TS,T,2,190050,407759,6,1.0000,7.0000
1501594,20150103,TS,T,2,190050,558961,7,2.0000,7.0000
1501595,20150103,TS,T,3,190051,1084284,1,6.0000,8.0000
1501596,20150103,TS,T,3,190051,923793,2,8.0000,8.0000
1501597,20150103,TS,T,3,190051,1032984,3,4.0000,8.0000
1501598,20150103,TS,T,3,190051,1069939,4,3.0000,8.0000
1501599,20150103,TS,T,3,190051,1075468,5,2.0000,8.0000
1501600,20150103,TS,T,3,190051,1038346,6,5.0000,8.0000
1501601,20150103,TS,T,3,190051,1070782,7,1.0000,8.0000
1501602,20150103,TS,T,3,190051,1007627,8,7.0000,8.0000
1501603,20150103,TS,T,4,190052,706828,1,1.0000,8.0000
1501604,20150103,TS,T,4,190052,484135,2,8.0000,8.0000
1501605,20150103,TS,T,4,190052,755579,3,4.0000,8.0000
1501606,20150103,TS,T,4,190052,561256,4,2.0000,8.0000
1501607,20150103,TS,T,4,190052,707255,5,7.0000,8.0000
1501608,20150103,TS,T,4,190052,895636,6,3.0000,8.0000
1501609,20150103,TS,T,4,190052,986650,7,6.0000,8.0000
1501610,20150103,TS,T,4,190052,904872,8,5.0000,8.0000
1501611,20150103,TS,T,5,190053,1065497,1,8.0000,8.0000
1501612,20150103,TS,T,5,190053,590999,2,3.0000,8.0000
1501613,20150103,TS,T,5,190053,323724,3,5.0000,8.0000
1501614,20150103,TS,T,5,190053,1070057,4,4.0000,8.0000
1501615,20150103,TS,T,5,190053,918802,5,1.0000,8.0000
1501616,20150103,TS,T,5,190053,1047140,6,6.0000,8.0000
1501617,20150103,TS,T,5,190053,1047091,7,2.0000,8.0000
1501618,20150103,TS,T,5,190053,676777,8,7.0000,8.0000
1501619,20150103,TS,T,6,190054,1012045,1,1.0000,8.0000
1501620,20150103,TS,T,6,190054,396705,2,2.0000,8.0000
1501621,20150103,TS,T,6,190054,1038179,3,4.0000,8.0000
1501622,20150103,TS,T,6,190054,502500,4,3.0000,8.0000
1501623,20150103,TS,T,6,190054,282499,5,5.0000,8.0000
1501624,20150103,TS,T,6,190054,302232,6,7.0000,8.0000
1501625,20150103,TS,T,6,190054,758401,7,8.0000,8.0000
1501626,20150103,TS,T,6,190054,275592,8,6.0000,8.0000
1501627,20150103,TS,T,7,190055,999335,1,3.0000,8.0000
1501628,20150103,TS,T,7,190055,329095,2,2.0000,8.0000
1501629,20150103,TS,T,7,190055,886052,3,8.0000,8.0000
1501630,20150103,TS,T,7,190055,1003576,4,6.0000,8.0000
1501631,20150103,TS,T,7,190055,366946,5,4.0000,8.0000
1501632,20150103,TS,T,7,190055,395991,6,5.0000,8.0000
1501633,20150103,TS,T,7,190055,839652,7,7.0000,8.0000
1501634,20150103,TS,T,7,190055,366466,8,1.0000,8.0000
1501635,20150103,TS,T,8,190056,533948,1,8.0000,8.0000
1501636,20150103,TS,T,8,190056,1003461,2,1.0000,8.0000
1501637,20150103,TS,T,8,190056,702141,3,7.0000,8.0000
1501638,20150103,TS,T,8,190056,750631,4,3.0000,8.0000
1501639,20150103,TS,T,8,190056,721338,5,6.0000,8.0000
1501640,20150103,TS,T,8,190056,895250,6,4.0000,8.0000
1501641,20150103,TS,T,8,190056,614844,7,2.0000,8.0000
1501642,20150103,TS,T,8,190056,794005,8,5.0000,8.0000
1501643,20150103,TS,T,9,190057,583850,1,6.0000,8.0000
1501644,20150103,TS,T,9,190057,895329,2,4.0000,8.0000
1501645,20150103,TS,T,9,190057,876839,3,8.0000,8.0000
1501646,20150103,TS,T,9,190057,829909,4,5.0000,8.0000
1501647,20150103,TS,T,9,190057,990282,5,7.0000,8.0000
1501648,20150103,TS,T,9,190057,327479,6,1.0000,8.0000
1501649,20150103,TS,T,9,190057,812647,7,3.0000,8.0000
1501650,20150103,TS,T,9,190057,586518,8,2.0000,8.0000
1501651,20150103,TS,T,10,190058,941628,1,2.0000,8.0000
1501652,20150103,TS,T,10,190058,408920,2,1.0000,8.0000
1501653,20150103,TS,T,10,190058,581211,3,4.0000,8.0000
1501654,20150103,TS,T,10,190058,406758,4,6.0000,8.0000
1501655,20150103,TS,T,10,190058,701781,5,3.0000,8.0000
1501656,20150103,TS,T,10,190058,720955,6,8.0000,8.0000
1501657,20150103,TS,T,10,190058,1047225,7,5.0000,8.0000
1501658,20150103,TS,T,10,190058,362240,8,7.0000,8.0000
1501659,20150103,TS,T,11,190059,581087,1,8.0000,8.0000
1501660,20150103,TS,T,11,190059,336832,2,2.0000,8.0000
1501661,20150103,TS,T,11,190059,231267,3,7.0000,8.0000
1501662,20150103,TS,T,11,190059,423125,4,3.0000,8.0000
1501663,20150103,TS,T,11,190059,595413,5,4.0000,8.0000
1501664,20150103,TS,T,11,190059,986335,6,5.0000,8.0000
1501665,20150103,TS,T,11,190059,918882,7,6.0000,8.0000
1501666,20150103,TS,T,11,190059,573763,8,1.0000,8.0000
1501667,20150103,TS,T,12,190060,615215,1,8.0000,8.0000
1501668,20150103,TS,T,12,190060,440530,2,5.0000,8.0000
1501669,20150103,TS,T,12,190060,267824,3,4.0000,8.0000
1501670,20150103,TS,T,12,190060,423405,4,7.0000,8.0000
1501671,20150103,TS,T,12,190060,594098,5,3.0000,8.0000
1501672,20150103,TS,T,12,190060,514423,6,2.0000,8.0000
1501673,20150103,TS,T,12,190060,519211,7,1.0000,8.0000
1501674,20150103,TS,T,12,190060,493816,8,6.0000,8.0000
1501675,20150103,TS,T,13,190061,282847,1,8.0000,7.0000
1501676,20150103,TS,T,13,190061,381602,2,7.0000,7.0000
1501677,20150103,TS,T,13,190061,616401,3,3.0000,7.0000
1501678,20150103,TS,T,13,190061,936940,4,4.0000,7.0000
1501679,20150103,TS,T,13,190061,1033867,5,2.0000,7.0000
1501680,20150103,TS,T,13,190061,10818,6,5.0000,7.0000
1501681,20150103,TS,T,13,190061,671822,7,6.0000,7.0000
1501682,20150103,TS,T,14,190062,458545,1,3.0000,8.0000
1501683,20150103,TS,T,14,190062,674257,2,6.0000,8.0000
1501684,20150103,TS,T,14,190062,568815,3,2.0000,8.0000
1501685,20150103,TS,T,14,190062,329414,4,1.0000,8.0000
1501686,20150103,TS,T,14,190062,995659,5,7.0000,8.0000
1501687,20150103,TS,T,14,190062,296399,6,5.0000,8.0000
1501688,20150103,TS,T,14,190062,227050,7,8.0000,8.0000
1501689,20150103,TS,T,14,190062,368899,8,4.0000,8.0000
1501690,20150103,TS,T,15,190063,402311,1,4.0000,8.0000
1501691,20150103,TS,T,15,190063,71043,2,5.0000,8.0000
1501692,20150103,TS,T,15,190063,217466,3,1.0000,8.0000
1501693,20150103,TS,T,15,190063,486249,4,2.0000,8.0000
1501694,20150103,TS,T,15,190063,10180,5,6.0000,8.0000
1501695,20150103,TS,T,15,190063,787769,6,3.0000,8.0000
1501696,20150103,TS,T,15,190063,685168,7,8.0000,8.0000
1501697,20150103,TS,T,15,190063,585107,8,7.0000,8.0000
1501698,20150103,TS,T,16,190064,620118,1,5.0000,8.0000
1501699,20150103,TS,T,16,190064,723181,2,2.0000,8.0000
1501700,20150103,TS,T,16,190064,694727,3,1.0000,8.0000
1501701,20150103,TS,T,16,190064,519040,4,6.0000,8.0000
1501702,20150103,TS,T,16,190064,848573,5,3.0000,8.0000
1501703,20150103,TS,T,16,190064,442625,6,7.0000,8.0000
1501704,20150103,TS,T,16,190064,615879,7,8.0000,8.0000
1501705,20150103,TS,T,16,190064,496117,8,4.0000,8.0000
1501706,20150103,TU,E,1,190065,1038556,1,7.0000,8.0000
1501707,20150103,TU,E,1,190065,1044034,2,2.0000,8.0000
1501708,20150103,TU,E,1,190065,1071785,3,8.0000,8.0000
1501709,20150103,TU,E,1,190065,1039066,4,1.0000,8.0000
1501710,20150103,TU,E,1,190065,1035037,5,6.0000,8.0000
1501711,20150103,TU,E,1,190065,1035945,6,4.0000,8.0000
1501712,20150103,TU,E,1,190065,1034146,7,3.0000,8.0000
1501713,20150103,TU,E,1,190065,923368,8,5.0000,8.0000
1501714,20150103,TU,E,2,190066,305010,1,2.0000,8.0000
1501715,20150103,TU,E,2,190066,618649,2,8.0000,8.0000
1501716,20150103,TU,E,2,190066,822127,3,5.0000,8.0000
1501717,20150103,TU,E,2,190066,273378,4,7.0000,8.0000
1501718,20150103,TU,E,2,190066,709536,5,1.0000,8.0000
1501719,20150103,TU,E,2,190066,261619,6,4.0000,8.0000
1501720,20150103,TU,E,2,190066,658047,7,6.0000,8.0000
1501721,20150103,TU,E,2,190066,414646,8,3.0000,8.0000
1501722,20150103,TU,E,3,190067,768260,1,5.0000,8.0000
1501723,20150103,TU,E,3,190067,932245,2,8.0000,8.0000
1501724,20150103,TU,E,3,190067,1043296,3,1.0000,8.0000
1501725,20150103,TU,E,3,190067,333482,4,6.0000,8.0000
1501726,20150103,TU,E,3,190067,193889,5,7.0000,8.0000
1501727,20150103,TU,E,3,190067,3942,6,2.0000,8.0000
1501728,20150103,TU,E,3,190067,991676,7,3.0000,8.0000
1501729,20150103,TU,E,3,190067,734940,8,4.0000,8.0000
1501730,20150103,TU,E,4,190068,259927,1,4.0000,8.0000
1501731,20150103,TU,E,4,190068,582542,2,7.0000,8.0000
1501732,20150103,TU,E,4,190068,1011908,3,5.0000,8.0000
1501733,20150103,TU,E,4,190068,431749,4,6.0000,8.0000
1501734,20150103,TU,E,4,190068,729713,5,2.0000,8.0000
1501735,20150103,TU,E,4,190068,444970,6,3.0000,8.0000
1501736,20150103,TU,E,4,190068,453770,7,8.0000,8.0000
1501737,20150103,TU,E,4,190068,214568,8,1.0000,8.0000
1501738,20150103,TU,E,5,190069,364158,1,7.0000,8.0000
1501739,20150103,TU,E,5,190069,1043284,2,8.0000,8.0000
1501740,20150103,TU,E,5,190069,208748,3,4.0000,8.0000
1501741,20150103,TU,E,5,190069,1004405,4,3.0000,8.0000
1501742,20150103,TU,E,5,190069,661186,5,1.0000,8.0000
1501743,20150103,TU,E,5,190069,915406,6,6.0000,8.0000
1501744,20150103,TU,E,5,190069,716020,7,2.0000,8.0000
1501745,20150103,TU,E,5,190069,707885,8,5.0000,8.0000
1501746,20150103,TU,E,6,190070,780550,1,6.0000,8.0000
1501747,20150103,TU,E,6,190070,382677,2,8.0000,8.0000
1501748,20150103,TU,E,6,190070,716553,3,2.0000,8.0000
1501749,20150103,TU,E,6,190070,734022,4,3.0000,8.0000
1501750,20150103,TU,E,6,190070,749906,5,7.0000,8.0000
1501751,20150103,TU,E,6,190070,429369,6,4.0000,8.0000
1501752,20150103,TU,E,6,190070,566326,7,1.0000,8.0000
1501753,20150103,TU,E,6,190070,411472,8,5.0000,8.0000
1501754,20150103,TU,E,7,190071,654046,1,8.0000,8.0000
1501755,20150103,TU,E,7,190071,753605,2,4.0000,8.0000
1501756,20150103,TU,E,7,190071,1004532,3,7.0000,8.0000
1501757,20150103,TU,E,7,190071,873548,4,5.0000,8.0000
1501758,20150103,TU,E,7,190071,586240,5,6.0000,8.0000
1501759,20150103,TU,E,7,190071,536173,6,1.0000,8.0000
1501760,20150103,TU,E,7,190071,431510,7,2.0000,8.0000
1501761,20150103,TU,E,7,190071,567353,8,3.0000,8.0000
1501762,20150103,TU,E,8,190072,790190,1,3.0000,8.0000
1501763,20150103,TU,E,8,190072,858498,2,8.0000,8.0000
1501764,20150103,TU,E,8,190072,996479,3,1.0000,8.0000
1501765,20150103,TU,E,8,190072,103919,4,6.0000,8.0000
1501766,20150103,TU,E,8,190072,918280,5,7.0000,8.0000
1501767,20150103,TU,E,8,190072,332010,6,5.0000,8.0000
1501768,20150103,TU,E,8,190072,859029,7,4.0000,8.0000
1501769,20150103,TU,E,8,190072,15732,8,2.0000,8.0000
1501770,20150103,TU,E,9,190073,454126,1,8.0000,8.0000
1501771,20150103,TU,E,9,190073,1004574,2,4.0000,8.0000
1501772,20150103,TU,E,9,190073,718375,3,3.0000,8.0000
1501773,20150103,TU,E,9,190073,592598,4,6.0000,8.0000
1501774,20150103,TU,E,9,190073,599667,5,2.0000,8.0000
1501775,20150103,TU,E,9,190073,729875,6,1.0000,8.0000
1501776,20150103,TU,E,9,190073,544134,7,7.0000,8.0000
1501777,20150103,TU,E,9,190073,261673,8,5.0000,8.0000
1501778,20150103,TU,E,10,190074,410075,1,6.0000,7.0000
1501779,20150103,TU,E,10,190074,654607,2,2.0000,7.0000
1501780,20150103,TU,E,10,190074,1039023,3,4.0000,7.0000
1501781,20150103,TU,E,10,190074,305608,4,5.0000,7.0000
1501782,20150103,TU,E,10,190074,618665,5,7.0000,7.0000
1501783,20150103,TU,E,10,190074,877246,6,1.0000,7.0000
1501784,20150103,TU,E,10,190074,758984,7,3.0000,7.0000
1501785,20150103,TU,E,11,190075,741265,1,7.0000,8.0000
1501786,20150103,TU,E,11,190075,716936,2,4.0000,8.0000
1501787,20150103,TU,E,11,190075,1005015,3,2.0000,8.0000
1501788,20150103,TU,E,11,190075,376461,4,5.0000,8.0000
1501789,20150103,TU,E,11,190075,527871,5,6.0000,8.0000
1501790,20150103,TU,E,11,190075,567981,6,8.0000,8.0000
1501791,20150103,TU,E,11,190075,758909,7,3.0000,8.0000
1501792,20150103,TU,E,11,190075,362120,8,1.0000,8.0000
1501793,20150103,TU,E,12,190076,535843,1,5.0000,8.0000
1501794,20150103,TU,E,12,190076,284762,2,3.0000,8.0000
1501795,20150103,TU,E,12,190076,515298,3,7.0000,8.0000
1501796,20150103,TU,E,12,190076,318282,4,6.0000,8.0000
1501797,20150103,TU,E,12,190076,7023,5,8.0000,8.0000
1501798,20150103,TU,E,12,190076,275608,6,2.0000,8.0000
1501799,20150103,TU,E,12,190076,264276,7,4.0000,8.0000
1501800,20150103,TU,E,12,190076,804088,8,1.0000,8.0000
1501801,20150103,TU,E,13,190077,357956,1,6.0000,7.0000
1501802,20150103,TU,E,13,190077,64801,2,8.0000,7.0000
1501803,20150103,TU,E,13,190077,718180,3,4.0000,7.0000
1501804,20150103,TU,E,13,190077,603228,4,1.0000,7.0000
1501805,20150103,TU,E,13,190077,915072,5,2.0000,7.0000
1501806,20150103,TU,E,13,190077,408886,6,3.0000,7.0000
1501807,20150103,TU,E,13,190077,609317,7,7.0000,7.0000
1501808,20150103,TU,E,14,190078,1038762,1,8.0000,8.0000
1501809,20150103,TU,E,14,190078,396093,2,3.0000,8.0000
1501810,20150103,TU,E,14,190078,503798,3,2.0000,8.0000
1501811,20150103,TU,E,14,190078,950609,4,1.0000,8.0000
1501812,20150103,TU,E,14,190078,721900,5,7.0000,8.0000
1501813,20150103,TU,E,14,190078,735863,6,5.0000,8.0000
1501814,20150103,TU,E,14,190078,503795,7,6.0000,8.0000
1501815,20150103,TU,E,14,190078,327387,8,4.0000,8.0000
1501816,20150103,TU,E,15,190079,519181,1,7.0000,8.0000
1501817,20150103,TU,E,15,190079,992057,2,8.0000,8.0000
1501818,20150103,TU,E,15,190079,804367,3,4.0000,8.0000
1501819,20150103,TU,E,15,190079,629184,4,5.0000,8.0000
1501820,20150103,TU,E,15,190079,1048416,5,6.0000,8.0000
1501821,20150103,TU,E,15,190079,1013083,6,2.0000,8.0000
1501822,20150103,TU,E,15,190079,575812,7,3.0000,8.0000
1501823,20150103,TU,E,15,190079,703132,8,1.0000,8.0000
1501824,20150103,TU,E,16,190080,208767,1,4.0000,8.0000
1501825,20150103,TU,E,16,190080,987558,2,5.0000,8.0000
1501826,20150103,TU,E,16,190080,645221,3,6.0000,8.0000
1501827,20150103,TU,E,16,190080,233830,4,1.0000,8.0000
1501828,20150103,TU,E,16,190080,527355,5,7.0000,8.0000
1501829,20150103,TU,E,16,190080,259899,6,3.0000,8.0000
1501830,20150103,TU,E,16,190080,454172,7,2.0000,8.0000
1501831,20150103,TU,E,16,190080,627221,8,8.0000,8.0000
1501832,20150103,WD,A,1,190081,896474,1,2.0000,8.0000
1501833,20150103,WD,A,1,190081,1064395,2,6.0000,8.0000
1501834,20150103,WD,A,1,190081,1030942,3,8.0000,8.0000
1501835,20150103,WD,A,1,190081,1081543,4,5.0000,8.0000
1501836,20150103,WD,A,1,190081,1067429,5,7.0000,8.0000
1501837,20150103,WD,A,1,190081,1059376,6,1.0000,8.0000
1501838,20150103,WD,A,1,190081,1043809,7,3.0000,8.0000
1501839,20150103,WD,A,1,190081,920210,8,4.0000,8.0000
1501840,20150103,WD,A,2,190082,772428,1,3.0000,8.0000
1501841,20150103,WD,A,2,190082,251063,2,1.0000,8.0000
1501842,20150103,WD,A,2,190082,309750,3,7.0000,8.0000
1501843,20150103,WD,A,2,190082,704626,4,6.0000,8.0000
1501844,20150103,WD,A,2,190082,251958,5,8.0000,8.0000
1501845,20150103,WD,A,2,190082,728645,6,4.0000,8.0000
1501846,20150103,WD,A,2,190082,682264,7,5.0000,8.0000
1501847,20150103,WD,A,2,190082,860172,8,2.0000,8.0000
1501848,20150103,WD,A,3,190083,1057788,1,7.0000,8.0000
1501849,20150103,WD,A,3,190083,1081619,2,2.0000,8.0000
1501850,20150103,WD,A,3,190083,957111,3,8.0000,8.0000
1501851,20150103,WD,A,3,190083,1051256,4,6.0000,8.0000
1501852,20150103,WD,A,3,190083,934201,5,3.0000,8.0000
1501853,20150103,WD,A,3,190083,1043631,6,4.0000,8.0000
1501854,20150103,WD,A,3,190083,1031201,7,1.0000,8.0000
1501855,20150103,WD,A,3,190083,1048642,8,5.0000,8.0000
1501856,20150103,WD,A,4,190084,717418,1,8.0000,7.0000
1501857,20150103,WD,A,4,190084,841533,2,6.0000,7.0000
1501858,20150103,WD,A,4,190084,926889,3,2.0000,7.0000
1501859,20150103,WD,A,4,190084,602700,4,1.0000,7.0000
1501860,20150103,WD,A,4,190084,453836,5,4.0000,7.0000
1501861,20150103,WD,A,4,190084,788470,6,7.0000,7.0000
1501862,20150103,WD,A,4,190084,1044065,7,3.0000,7.0000
1501863,20150103,WD,A,5,190085,382174,1,3.0000,8.0000
1501864,20150103,WD,A,5,190085,259319,2,8.0000,8.0000
1501865,20150103,WD,A,5,190085,514630,3,1.0000,8.0000
1501866,20150103,WD,A,5,190085,489794,4,2.0000,8.0000
1501867,20150103,WD,A,5,190085,483200,5,6.0000,8.0000
1501868,20150103,WD,A,5,190085,906854,6,5.0000,8.0000
1501869,20150103,WD,A,5,190085,271255,7,7.0000,8.0000
1501870,20150103,WD,A,5,190085,494962,8,4.0000,8.0000
1501871,20150103,WD,A,6,190086,826846,1,1.0000,8.0000
1501872,20150103,WD,A,6,190086,296083,2,3.0000,8.0000
1501873,20150103,WD,A,6,190086,591005,3,8.0000,8.0000
1501874,20150103,WD,A,6,190086,252025,4,7.0000,8.0000
1501875,20150103,WD,A,6,190086,772738,5,4.0000,8.0000
1501876,20150103,WD,A,6,190086,859339,6,5.0000,8.0000
1501877,20150103,WD,A,6,190086,985714,7,6.0000,8.0000
1501878,20150103,WD,A,6,190086,564758,8,2.0000,8.0000
1501879,20150103,WD,A,7,190087,784666,1,1.0000,8.0000
1501880,20150103,WD,A,7,190087,787403,2,2.0000,8.0000
1501881,20150103,WD,A,7,190087,249642,3,4.0000,8.0000
1501882,20150103,WD,A,7,190087,773363,4,3.0000,8.0000
1501883,20150103,WD,A,7,190087,288908,5,5.0000,8.0000
1501884,20150103,WD,A,7,190087,688857,6,6.0000,8.0000
1501885,20150103,WD,A,7,190087,953407,7,8.0000,8.0000
1501886,20150103,WD,A,7,190087,373501,8,7.0000,8.0000
1501887,20150103,WD,A,8,190088,345643,1,3.0000,8.0000
1501888,20150103,WD,A,8,190088,757988,2,7.0000,8.0000
1501889,20150103,WD,A,8,190088,582813,3,2.0000,8.0000
1501890,20150103,WD,A,8,190088,787090,4,4.0000,8.0000
1501891,20150103,WD,A,8,190088,545537,5,5.0000,8.0000
1501892,20150103,WD,A,8,190088,420480,6,1.0000,8.0000
1501893,20150103,WD,A,8,190088,855210,7,8.0000,8.0000
1501894,20150103,WD,A,8,190088,767800,8,6.0000,8.0000
1501895,20150103,WD,A,9,190089,463800,1,2.0000,8.0000
1501896,20150103,WD,A,9,190089,780549,2,8.0000,8.0000
1501897,20150103,WD,A,9,190089,584558,3,3.0000,8.0000
1501898,20150103,WD,A,9,190089,674880,4,4.0000,8.0000
1501899,20150103,WD,A,9,190089,316852,5,1.0000,8.0000
1501900,20150103,WD,A,9,190089,1013889,6,6.0000,8.0000
1501901,20150103,WD,A,9,190089,597083,7,5.0000,8.0000
1501902,20150103,WD,A,9,190089,815107,8,7.0000,8.0000
1501903,20150103,WD,A,10,190090,254210,1,3.0000,8.0000
1501904,20150103,WD,A,10,190090,553419,2,8.0000,8.0000
1501905,20150103,WD,A,10,190090,251294,3,1.0000,8.0000
1501906,20150103,WD,A,10,190090,573459,4,2.0000,8.0000
1501907,20150103,WD,A,10,190090,233794,5,6.0000,8.0000
1501908,20150103,WD,A,10,190090,145686,6,5.0000,8.0000
1501909,20150103,WD,A,10,190090,495015,7,4.0000,8.0000
1501910,20150103,WD,A,10,190090,249022,8,7.0000,8.0000
1501911,20150103,WD,A,11,190091,584064,1,3.0000,8.0000
1501912,20150103,WD,A,11,190091,854126,2,7.0000,8.0000
1501913,20150103,WD,A,11,190091,611651,3,8.0000,8.0000
1501914,20150103,WD,A,11,190091,418799,4,6.0000,8.0000
1501915,20150103,WD,A,11,190091,553457,5,1.0000,8.0000
1501916,20150103,WD,A,11,190091,739064,6,5.0000,8.0000
1501917,20150103,WD,A,11,190091,643612,7,2.0000,8.0000
1501918,20150103,WD,A,11,190091,1021893,8,4.0000,8.0000
1501919,20150103,WD,A,12,190092,567724,1,2.0000,8.0000
1501920,20150103,WD,A,12,190092,836521,2,7.0000,8.0000
1501921,20150103,WD,A,12,190092,385636,3,4.0000,8.0000
1501922,20150103,WD,A,12,190092,715202,4,1.0000,8.0000
1501923,20150103,WD,A,12,190092,286196,5,3.0000,8.0000
1501924,20150103,WD,A,12,190092,760698,6,5.0000,8.0000
1501925,20150103,WD,A,12,190092,139147,7,8.0000,8.0000
1501926,20150103,WD,A,12,190092,437364,8,6.0000,8.0000
1501927,20150103,WD,A,13,190093,228820,1,3.0000,8.0000
1501928,20150103,WD,A,13,190093,385342,2,1.0000,8.0000
1501929,20150103,WD,A,13,190093,396416,3,2.0000,8.0000
1501930,20150103,WD,A,13,190093,674757,4,6.0000,8.0000
1501931,20150103,WD,A,13,190093,1032855,5,8.0000,8.0000
1501932,20150103,WD,A,13,190093,700762,6,7.0000,8.0000
1501933,20150103,WD,A,13,190093,861852,7,4.0000,8.0000
1501934,20150103,WD,A,13,190093,723255,8,5.0000,8.0000
1501935,20150103,WD,A,14,190094,670944,1,4.0000,8.0000
1501936,20150103,WD,A,14,190094,403191,2,1.0000,8.0000
1501937,20150103,WD,A,14,190094,846839,3,5.0000,8.0000
1501938,20150103,WD,A,14,190094,450252,4,3.0000,8.0000
1501939,20150103,WD,A,14,190094,728946,5,7.0000,8.0000
1501940,20150103,WD,A,14,190094,736387,6,6.0000,8.0000
1501941,20150103,WD,A,14,190094,494842,7,2.0000,8.0000
1501942,20150103,WD,A,14,190094,478821,8,8.0000,8.0000
1501943,20150103,WD,A,15,190095,906779,1,5.0000,8.0000
1501944,20150103,WD,A,15,190095,717200,2,1.0000,8.0000
1501945,20150103,WD,A,15,190095,861222,3,3.0000,8.0000
1501946,20150103,WD,A,15,190095,245830,4,8.0000,8.0000
1501947,20150103,WD,A,15,190095,527588,5,2.0000,8.0000
1501948,20150103,WD,A,15,190095,836528,6,6.0000,8.0000
1501949,20150103,WD,A,15,190095,1031456,7,4.0000,8.0000
1501950,20150103,WD,A,15,190095,853868,8,7.0000,8.0000
1501951,20150103,WD,E,1,190096,453812,1,8.0000,8.0000
1501952,20150103,WD,E,1,190096,1027429,2,2.0000,8.0000
1501953,20150103,WD,E,1,190096,624464,3,6.0000,8.0000
1501954,20150103,WD,E,1,190096,237009,4,3.0000,8.0000
1501955,20150103,WD,E,1,190096,503244,5,1.0000,8.0000
1501956,20150103,WD,E,1,190096,1044306,6,5.0000,8.0000
1501957,20150103,WD,E,1,190096,216,7,7.0000,8.0000
1501958,20150103,WD,E,1,190096,575791,8,4.0000,8.0000
1501959,20150103,WD,E,2,190097,854388,1,7.0000,8.0000
1501960,20150103,WD,E,2,190097,264584,2,2.0000,8.0000
1501961,20150103,WD,E,2,190097,283338,3,6.0000,8.0000
1501962,20150103,WD,E,2,190097,738815,4,1.0000,8.0000
1501963,20150103,WD,E,2,190097,271518,5,8.0000,8.0000
1501964,20150103,WD,E,2,190097,573789,6,5.0000,8.0000
1501965,20150103,WD,E,2,190097,271297,7,4.0000,8.0000
1501966,20150103,WD,E,2,190097,584559,8,3.0000,8.0000
1501967,20150103,WD,E,3,190098,527558,1,1.0000,8.0000
1501968,20150103,WD,E,3,190098,641698,2,8.0000,8.0000
1501969,20150103,WD,E,3,190098,307685,3,2.0000,8.0000
1501970,20150103,WD,E,3,190098,831940,4,7.0000,8.0000
